Rk;Player;Nation;Pos;Squad;Age;Born;90s;SCA;SCA90;PassLive;PassDead;Drib;Sh;Fld;Def;GCA;GCA90;PassLive;PassDead;Drib;Sh;Fld;Def;OG
272;Scott McTominay;sco SCO;MF;Manchester Utd;24-012;1996;7.5;13;1.73;9;0;0;1;2;1;1;0.13;0;0;0;0;0;1;0
273;Ben Mee;eng ENG;DF;Burnley;31-088;1989;6.0;1;0.17;0;1;0;0;0;0;0;0.00;0;0;0;0;0;0;0
274;Benjamin Mendy;fr FRA;DF;Manchester City;26-156;1994;5.6;5;0.89;4;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0
275;Edouard Mendy;sn SEN;GK;Chelsea;28-294;1992;9.0;1;0.11;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
276;Nampalys Mendy;fr FRA;MF;Leicester City;28-180;1992;11.3;8;0.71;5;0;0;0;1;2;1;0.09;1;0;0;0;0;0;0
277;Illan Meslier;fr FRA;GK;Leeds United;20-293;2000;13.0;2;0.15;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
278;Luka Milivojević;rs SRB;MF;Crystal Palace;29-257;1991;6.3;18;2.85;8;7;1;0;1;1;1;0.16;0;1;0;0;0;0;0
279;James Milner;eng ENG;MF,DF;Liverpool;34-351;1986;2.9;8;2.75;4;3;0;0;0;1;1;0.34;0;1;0;0;0;0;0
280;Yerry Mina;co COL;DF;Everton;26-088;1994;12.0;1;0.08;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
281;Takumi Minamino;jp JPN;MF,FW;Liverpool;25-339;1995;3.2;6;1.89;3;0;1;1;1;0;1;0.31;0;0;1;0;0;0;0
282;Tyrone Mings;eng ENG;DF;Aston Villa;27-282;1993;11.0;7;0.64;5;0;1;1;0;0;1;0.09;1;0;0;0;0;0;0
283;Tyrick Mitchell;eng ENG;DF;Crystal Palace;21-110;1999;6.0;2;0.33;2;0;0;0;0;0;2;0.33;2;0;0;0;0;0;0
284;Aleksandar Mitrović;rs SRB;FW;Fulham;26-095;1994;8.7;22;2.52;16;1;3;1;1;0;3;0.34;2;0;0;1;0;0;0
285;Jayson Molumby;ie IRL;MF;Brighton;21-136;1999;0.0;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
286;Wes Morgan;jm JAM;DF;Leicester City;36-334;1984;0.2;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
287;Mason Mount;eng ENG;MF,FW;Chelsea;21-345;1999;11.0;38;3.45;20;13;1;2;1;1;6;0.55;1;3;0;2;0;0;0
288;Lucas Moura;br BRA;FW,MF;Tottenham;28-129;1992;4.5;6;1.32;6;0;0;0;0;0;1;0.22;1;0;0;0;0;0;0
289;Lys Mousset;fr FRA;FW;Sheffield Utd;24-316;1996;0.7;3;4.09;2;0;1;0;0;0;0;0.00;0;0;0;0;0;0;0
290;João Moutinho;pt POR;MF;Wolves;34-103;1986;8.0;23;2.89;13;7;0;2;0;1;0;0.00;0;0;0;0;0;0;0
291;Jacob Murphy;eng ENG;DF,FW;Newcastle Utd;25-300;1995;5.2;9;1.74;7;0;1;0;1;0;1;0.19;1;0;0;0;0;0;0
292;Shkodran Mustafi;de GER;DF;Arsenal;28-247;1992;0.5;0;0.00;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
293;Marvelous Nakamba;zw ZIM;MF;Aston Villa;26-336;1994;1.2;2;1.70;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
294;Wilfred Ndidi;ng NGA;DF,MF;Leicester City;24-004;1996;4.1;2;0.49;2;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
295;Tanguy Ndombele;fr FRA;MF;Tottenham;23-358;1996;6.8;16;2.35;15;0;1;0;0;0;5;0.74;5;0;0;0;0;0;0
296;Reiss Nelson;eng ENG;FW;Arsenal;21-010;1999;0.8;1;1.27;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
297;Pedro Neto;pt POR;FW,MF;Wolves;20-286;2000;11.3;46;4.07;27;7;5;3;4;0;3;0.27;1;1;0;1;0;0;0
298;Rúben Neves;pt POR;MF;Wolves;23-282;1997;9.0;20;2.23;16;2;1;1;0;0;0;0.00;0;0;0;0;0;0;0
299;Eddie Nketiah;eng ENG;FW;Arsenal;21-204;1999;3.5;4;1.14;3;0;0;0;0;1;1;0.28;1;0;0;0;0;0;0
300;Niels Nkounkou;fr FRA;DF;Everton;20-049;2000;0.8;1;1.32;1;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0
